Intensity,wavelength_nm,Spectrum,Reference
50,836.57466,Ne I,SS04
100,837.2106,Ne II,P71
  800 P,837.7608,Ne I,SS04
30,841.71606,Ne I,SS04
250,841.84274,Ne I,SS04
40,846.33575,Ne I,SS04
13,848.44435,Ne I,SS04
700,849.53598,Ne I,SS04
15,854.46958,Ne I,SS04
30,857.13524,Ne I,SS04
400,859.12584,Ne I,SS04
350,863.4647,Ne I,SS04
60,864.70411,Ne I,SS04
  600 P,865.43831,Ne I,SS04
80,865.5522,Ne I,SS04
100,866.8256,Ne II,P71
130,867.94925,Ne I,SS04
150,868.19211,Ne I,SS04
30,870.41116,Ne I,SS04
100,877.16563,Ne I,SS04
  600 P,878.06226,Ne I,SS04
  400 P,878.37533,Ne I,SS04
6,883.09072,Ne I,SS04
300,885.38668,Ne I,SS04
20,886.53063,Ne I,SS04
150,886.57552,Ne I,SS04
60,891.95006,Ne I,SS04
20,898.85564,Ne I,SS04
100,907.9462,Ne II,P71
120,914.86716,Ne I,SS04
90,920.17591,Ne I,SS04
60,922.00601,Ne I,SS04
20,922.15801,Ne I,SS04
20,922.66903,Ne I,SS04
9,927.55196,Ne I,SS04
200,928.7563,Ne II,P71
80,930.08527,Ne I,SS04
8,931.05839,Ne I,SS04
30,931.39726,Ne I,SS04
70,932.65068,Ne I,SS04
15,937.33078,Ne I,SS04
50,942.53788,Ne I,SS04
30,945.92095,Ne I,SS04
50,948.66818,Ne I,SS04
60,953.41629,Ne I,SS04
30,954.74049,Ne I,SS04
120,957.7013,Ne II,P71
180,966.54197,Ne I,SS04
100,980.886,Ne II,P71
4,1029.54174,Ne I,SS04
80,1056.24075,Ne I,SS04
60,1079.80429,Ne I,SS04
90,1084.44772,Ne I,SS04
  300 P,1114.302,Ne I,SS04
  500 P,1117.7524,Ne I,SS04
150,1139.04339,Ne I,SS04
90,1140.91343,Ne I,SS04
  300 P,1152.27459,Ne I,SS04
150,1152.50194,Ne I,SS04
90,1153.63445,Ne I,SS04
30,1160.15366,Ne I,SS04
130,1161.40807,Ne I,SS04
30,1168.80017,Ne I,SS04
150,1176.67924,Ne I,SS04
130,1178.90435,Ne I,SS04
30,1178.98891,Ne I,SS04
70,1198.4912,Ne I,SS04
200,1206.6334,Ne I,SS04
40,1245.9389,Ne I,SS04
60,1268.9201,Ne I,SS04
80,1291.2014,Ne I,SS04
40,1321.9241,Ne I,SS04
50,1523.0714,Ne I,SS04
20,1716.1929,Ne I,SS04
20,1803.5812,Ne I,SS04
40,1808.3181,Ne I,SS04
9,1808.3263,Ne I,SS04
15,1822.1087,Ne I,SS04
13,1822.7016,Ne I,SS04
140,1827.6642,Ne I,SS04
100,1828.2614,Ne I,SS04
70,1830.3967,Ne I,SS04
20,1835.9094,Ne I,SS04
60,1838.4826,Ne I,SS04
90,1838.9937,Ne I,SS04
40,1840.2836,Ne I,SS04
60,1842.2402,Ne I,SS04
13,1845.864,Ne I,SS04
40,1847.58,Ne I,SS04
70,1859.1541,Ne I,SS04
100,1859.7698,Ne I,SS04
16,1861.8908,Ne I,SS04
20,1862.5159,Ne I,SS04
30,2104.127,Ne I,SS04
30,2170.811,Ne I,SS04
13,2224.736,Ne I,SS04
13,2242.814,Ne I,SS04
80,2253.038,Ne I,SS04
13,2266.179,Ne I,SS04
25,2310.048,Ne I,SS04
40,2326.027,Ne I,SS04
50,2337.296,Ne I,SS04
30,2356.533,Ne I,SS04
170,2363.648,Ne I,SS04
12,2370.166,Ne I,SS04
60,2370.913,Ne I,SS04
110,2395.14,Ne I,SS04
50,2395.643,Ne I,SS04
60,2397.816,Ne I,SS04
11,2409.857,Ne I,SS04
20,2416.143,Ne I,SS04
30,2424.961,Ne I,SS04
70,2436.501,Ne I,SS04
40,2437.161,Ne I,SS04
20,2444.786,Ne I,SS04
30,2445.939,Ne I,SS04
17,2477.649,Ne I,SS04
30,2492.889,Ne I,SS04
13,2516.17,Ne I,SS04
50,2552.433,Ne I,SS04
6,2838.62,Ne I,SS04
6,3020.049,Ne I,SS04
8,3317.309,Ne I,SS04
17,3335.238,Ne I,SS04
5,3389.981,Ne I,SS04
4,3390.302,Ne I,SS04
12,3391.31,Ne I,SS04
4,3413.134,Ne I,SS04
6,3447.143,Ne I,SS04
8,3583.481,Ne I,SS04
